OID_,Value,Count,shawn_ltas_r,LC16_BPS_200,LC20_EVT_220,MAP_UNIT_S,MAP_UNIT_N,CONCEPT,FORESTNAME,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS,EVT_GP_N
696,696,11.000000000000000,9,2029,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
697,697,2.000000000000000,9,2017,7929,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
698,698,1.000000000000000,9,2017,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
699,699,2.000000000000000,9,2017,7925,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
700,700,32.000000000000000,9,2017,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
701,701,24.000000000000000,9,2017,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
702,702,27.000000000000000,9,2017,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Roads,Developed-Roads,Developed-Roads
703,703,6.000000000000000,9,2021,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Developed-Roads,Developed-Roads,Developed-Roads
704,704,38.000000000000000,9,2029,7304,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Ozark-Ouachita Dry-Mesic Oak Forest,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
705,705,6.000000000000000,9,2017,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
706,706,35.000000000000000,9,2017,7974,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
707,707,33.000000000000000,9,2017,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
708,708,34.000000000000000,9,2017,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
709,709,12.000000000000000,9,2029,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
710,710,23.000000000000000,9,2020,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
711,711,8.000000000000000,9,2020,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Developed-Roads,Developed-Roads,Developed-Roads
712,712,49.000000000000000,1,2016,7297,223Dh03,East Shallow Loess (Greater SH),East Shallow Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
713,713,6.000000000000000,9,2017,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
714,714,4.000000000000000,9,2029,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
715,715,11.000000000000000,9,2029,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Developed-Roads,Developed-Roads,Developed-Roads
716,716,3.000000000000000,9,2029,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
717,717,3.000000000000000,9,2029,7925,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
718,718,18.000000000000000,9,2029,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
719,719,39.000000000000000,9,2017,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
720,720,10.000000000000000,9,2020,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
721,721,1.000000000000000,9,2020,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
722,722,37.000000000000000,5,2020,9223,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,South-Central Interior Large Floodplain Forest,Riparian,Eastern Floodplain Forests
723,723,45.000000000000000,5,2017,9223,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,South-Central Interior Large Floodplain Forest,Riparian,Eastern Floodplain Forests
724,724,1.000000000000000,9,2029,7929,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
725,725,12.000000000000000,9,2029,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
726,726,1.000000000000000,9,2020,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
727,727,12.000000000000000,9,2020,7974,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
728,728,3362.000000000000000,8,2021,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
729,729,108923.000000000000000,8,2017,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
730,730,31588.000000000000000,8,2021,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
731,731,23240.000000000000000,8,2021,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
732,732,72286.000000000000000,8,2017,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
733,733,9.000000000000000,5,2033,7299,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,14710_49_52,Central Interior and Appalachian Floodplain Systems,NA,426,68,59,Developed-Roads,Developed-Roads,Developed-Roads
734,734,1.000000000000000,9,2029,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
735,735,6.000000000000000,9,2029,7974,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
736,736,2.000000000000000,9,2016,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,Developed-Roads,Developed-Roads,Developed-Roads
737,737,2249.000000000000000,8,2021,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
738,738,1951.000000000000000,8,2033,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14710_49_52,Central Interior and Appalachian Floodplain Systems,NA,426,68,59,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
739,739,3698.000000000000000,8,2021,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Developed-Roads,Developed-Roads,Developed-Roads
740,740,10031.000000000000000,8,2017,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
741,741,5933.000000000000000,8,2017,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
742,742,685.000000000000000,8,2029,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Developed-Roads,Developed-Roads,Developed-Roads
743,743,12397.000000000000000,8,2017,7299,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Roads,Developed-Roads,Developed-Roads
744,744,1555.000000000000000,8,2029,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
745,745,15269.000000000000000,8,2021,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
746,746,219.000000000000000,8,2029,7974,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
747,747,8313.000000000000000,8,2017,7974,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
748,748,47454.000000000000000,8,2017,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
749,749,1560.000000000000000,8,2021,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
750,750,539.000000000000000,8,2021,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
751,751,1312.000000000000000,8,2020,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
752,752,12.000000000000000,1,2020,9317,223Dh03,East Shallow Loess (Greater SH),East Shallow Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
753,753,22.000000000000000,5,2017,7518,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Wet Flatwoods,Riparian,Hardwood Flatwoods
754,754,2.000000000000000,9,2029,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
755,755,1535.000000000000000,8,2029,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
756,756,6445.000000000000000,8,2029,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
757,757,179.000000000000000,8,2021,7907,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
758,758,558.000000000000000,8,2021,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
759,759,639.000000000000000,8,2017,7907,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
760,760,1482.000000000000000,8,2017,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
761,761,107.000000000000000,8,2029,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
762,762,1018.000000000000000,8,2021,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
763,763,2718.000000000000000,8,2017,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
764,764,451.000000000000000,8,2017,7297,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
765,765,3142.000000000000000,8,2020,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
766,766,6.000000000000000,9,2021,7304,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Ozark-Ouachita Dry-Mesic Oak Forest,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
767,767,1.000000000000000,9,2021,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
768,768,6731.000000000000000,8,2017,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
769,769,1557.000000000000000,8,2017,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
770,770,120.000000000000000,5,2029,7321,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
771,771,8.000000000000000,5,2029,7518,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,North-Central Interior Wet Flatwoods,Riparian,Hardwood Flatwoods
772,772,5.000000000000000,9,2021,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
773,773,330.000000000000000,8,2017,7906,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
774,774,7.000000000000000,5,2029,7905,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
775,775,2.000000000000000,9,2020,7304,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Ozark-Ouachita Dry-Mesic Oak Forest,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
776,776,982.000000000000000,8,2033,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14710_49_52,Central Interior and Appalachian Floodplain Systems,NA,426,68,59,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
777,777,35.000000000000000,8,2029,7297,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
778,778,318.000000000000000,8,2029,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
779,779,3.000000000000000,5,2021,7457,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,South-Central Interior / Upper Coastal Plain Wet Flatwoods,Riparian,Hardwood Flatwoods
780,780,1.000000000000000,9,2020,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
781,781,7.000000000000000,1,2016,7291,223Dh03,East Shallow Loess (Greater SH),East Shallow Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,Central Interior Highlands Calcareous Glade and Barrens Herbaceous,Grassland,Glades and Barrens
782,782,1.000000000000000,5,2017,9314,223Gc04,East Deep Loess,East Deep Loess,Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
783,783,2.000000000000000,9,2016,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
784,784,488.000000000000000,8,2029,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
785,785,28420.000000000000000,8,2016,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
786,786,23265.000000000000000,8,2016,7321,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,South-Central Interior Mesophytic Forest,Hardwood,Beech-Maple-Basswood Forest
787,787,387.000000000000000,8,2017,7925,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
788,788,466.000000000000000,8,2020,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
789,789,10061.000000000000000,8,11,7292,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,NA,Open Water,NA,NA,NA,NA,Open Water,Open Water,Open Water
790,790,1.000000000000000,9,2021,7929,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13210_49,South-Central Interior Mesophytic Forest,708,809,548,223,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
791,791,25.000000000000000,8,2017,9683,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
792,792,2.000000000000000,9,2029,7364,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Ozark-Ouachita Dry Oak Woodland,Hardwood,Post Oak Woodland and Savanna
793,793,37.000000000000000,8,2017,7518,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Wet Flatwoods,Riparian,Hardwood Flatwoods
794,794,69.000000000000000,8,2017,9180,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
795,795,1.000000000000000,1,2016,9318,223Dh03,East Shallow Loess (Greater SH),East Shallow Loess (Greater SH),Shawnee National Forest,13050_49,Southern Interior Low Plateau Dry-Mesic Oak Forest,61,117,9,7,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
