OID_,Value,Count,shawn_ltas_r,LC16_BPS_200,LC20_EVT_220,MAP_UNIT_S,MAP_UNIT_N,CONCEPT,FORESTNAME,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS,EVT_GP_N
14,14,7184.000000000000000,10,2017,7977,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
15,15,845.000000000000000,10,2015,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
16,16,117.000000000000000,10,2020,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
17,17,152.000000000000000,10,2020,9817,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
18,18,288.000000000000000,10,2020,7304,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Ozark-Ouachita Dry-Mesic Oak Forest,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
19,19,392.000000000000000,10,2017,9179,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
20,20,6.000000000000000,10,2029,7311,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
21,21,282.000000000000000,10,2020,9179,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
22,22,1150.000000000000000,10,2029,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
23,23,461.000000000000000,10,2015,9315,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
